order_id,customer_id,order_date,status,region_code
1,663.0,2024-11-26 15:09:31,SHIPPED,EAST
2,927.0,2024-12-04 11:32:53,DELIVERED,EAST
3,1061.0,2025-12-29 11:47:08,PLACED,SOUTH
4,645.0,2025-11-13 13:28:46,DELIVERED,EAST
5,1048.0,2025-01-23 09:03:10,SHIPPED,NORTH
6,320.0,2024-08-26 20:06:36,DELIVERED,SOUTH
7,616.0,2025-10-26 00:45:35,CANCELLED,NORTH
8,989.0,2024-11-17 23:08:15,DELIVERED,NORTH
9,616.0,2025-07-10 19:10:43,DELIVERED,NORTH
10,685.0,2025-03-25 12:11:21,DELIVERED,NORTH
11,465.0,2025-05-26 09:43:51,CANCELLED,WEST
12,1074.0,2024-12-25 19:20:26,SHIPPED,SOUTH
13,805.0,2025-12-10 09:40:42,DELIVERED,NORTH
14,594.0,2024-11-28 20:38:09,DELIVERED,WEST
15,101.0,2026-05-04 20:56:31,DELIVERED,WEST
16,268.0,2024-12-25 14:14:51,SHIPPED,WEST
17,402.0,2025-06-10 23:27:48,DELIVERED,SOUTH
18,881.0,2026-02-06 18:50:39,PLACED,WEST
19,714.0,2025-04-19 18:12:05,DELIVERED,EAST
20,717.0,2025-03-17 04:47:14,DELIVERED,SOUTH
21,479.0,2026-01-17 02:56:39,DELIVERED,NORTH
22,112.0,2024-12-15 07:42:17,SHIPPED,EAST
24,1102.0,2024-10-27 12:03:01,DELIVERED,WEST
25,290.0,2025-09-28 08:56:09,DELIVERED,NORTH
26,124.0,2025-12-31 22:56:05,DELIVERED,NORTH
27,18.0,2025-06-15 01:51:22,DELIVERED,EAST
28,40.0,2025-08-01 22:23:23,DELIVERED,WEST
29,204.0,2024-09-22 18:39:42,DELIVERED,NORTH
30,1026.0,2025-12-09 04:45:41,DELIVERED,NORTH
31,1085.0,2024-12-19 07:37:47,DELIVERED,NORTH
32,721.0,2024-08-31 17:55:28,RETURNED,EAST
33,528.0,2025-11-02 20:45:53,DELIVERED,NORTH
34,574.0,2026-03-26 21:52:03,DELIVERED,SOUTH
35,783.0,2025-09-03 07:19:33,DELIVERED,SOUTH
36,1174.0,2026-03-16 05:24:04,CANCELLED,EAST
37,270.0,2025-01-04 03:27:42,DELIVERED,SOUTH
38,633.0,2025-10-20 23:28:59,CANCELLED,WEST
39,298.0,2024-08-19 02:17:13,SHIPPED,NORTH
40,243.0,2026-05-09 17:39:04,SHIPPED,NORTH
41,848.0,2024-07-24 02:14:06,DELIVERED,EAST
42,385.0,2025-12-03 20:54:18,DELIVERED,EAST
43,473.0,2024-09-28 08:11:44,PLACED,NORTH
44,977.0,2026-03-21 05:32:19,DELIVERED,EAST
45,794.0,2025-08-29 11:36:21,SHIPPED,NORTH
46,31.0,2025-05-03 06:31:21,SHIPPED,SOUTH
47,136.0,2025-07-01 16:33:16,DELIVERED,WEST
48,938.0,2024-12-30 04:14:15,DELIVERED,WEST
49,808.0,2024-08-12 11:58:38,DELIVERED,NORTH
50,925.0,2026-01-26 10:41:12,DELIVERED,SOUTH
51,811.0,2025-10-31 13:27:51,DELIVERED,NORTH
52,901.0,2024-09-12 07:53:43,DELIVERED,WEST
53,603.0,2025-12-30 19:49:56,DELIVERED,SOUTH
54,926.0,2026-01-31 11:36:36,SHIPPED,SOUTH
55,663.0,2025-07-20 17:59:00,DELIVERED,SOUTH
56,185.0,2025-12-10 01:18:27,CANCELLED,SOUTH
57,254.0,2026-04-12 11:13:33,DELIVERED,NORTH
58,787.0,2024-07-18 08:26:35,DELIVERED,SOUTH
59,780.0,2025-10-06 04:02:29,DELIVERED,SOUTH
60,297.0,2026-03-21 14:01:43,DELIVERED,EAST
61,914.0,2026-02-25 19:11:46,DELIVERED,SOUTH
63,12.0,2024-09-11 08:37:10,SHIPPED,WEST
64,905.0,2025-04-21 09:59:05,SHIPPED,EAST
65,1142.0,2025-11-08 01:36:05,SHIPPED,NORTH
66,76.0,2026-03-02 21:13:55,DELIVERED,EAST
67,180.0,2024-08-05 20:55:56,SHIPPED,EAST
68,1173.0,2024-12-18 13:33:26,DELIVERED,EAST
69,191.0,2026-04-23 14:59:36,DELIVERED,NORTH
70,1128.0,2025-06-18 23:54:49,SHIPPED,EAST
71,848.0,2025-04-20 21:17:30,DELIVERED,NORTH
72,1084.0,2024-11-25 14:30:26,DELIVERED,EAST
73,649.0,2025-05-06 00:36:59,DELIVERED,SOUTH
74,1017.0,2025-05-05 12:59:44,DELIVERED,SOUTH
75,477.0,2025-03-15 13:06:42,PLACED,NORTH
76,242.0,2026-03-22 07:30:31,DELIVERED,WEST
77,684.0,2024-12-06 20:24:18,SHIPPED,SOUTH
78,522.0,2025-06-06 01:15:10,DELIVERED,EAST
79,234.0,2024-08-20 12:26:25,DELIVERED,NORTH
